Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DameHeight,YearComissioned,Retrofit,lon,lat,projectID,YearDecommissioning
Bio 163,Bioenergy,OCGT,CHP,DE,0.191,,,,,25.11.1996,,10.00272199,53.10751709,{'JRC': ['00000']},
Bio 164,Bioenergy,OCGT,CHP,DE,0.09,,,,,01.12.1996,,11.61862213,48.70026651,{'JRC': ['00000']},
Bio 165,Bioenergy,OCGT,CHP,DE,0.044,,,,,09.12.1996,,9.844029674,52.9893396,{'JRC': ['00000']},
Bio 166,Bioenergy,OCGT,CHP,DE,0.19,,,,,13.12.1996,,7.930133065,53.6539958,{'JRC': ['00000']},
Bio 167,Bioenergy,OCGT,CHP,DE,0.735,,,,,16.12.1996,,9.844029674,52.9893396,{'JRC': ['00000']},
Bio 168,Bioenergy,OCGT,CHP,DE,0.184,,,,,19.12.1996,,9.80607283,53.12099909,{'JRC': ['00000']},
Bio 169,Bioenergy,OCGT,CHP,DE,0.832,,,,,19.12.1996,,9.844029674,52.9893396,{'JRC': ['00000']},
Bio 170,Bioenergy,OCGT,CHP,DE,0.746,,,,,23.12.1996,,7.4429503,53.14646184,{'JRC': ['00000']},
Bio 171,Bioenergy,OCGT,CHP,DE,0.044,,,,,01.01.1997,,12.85960445,47.79251186,{'JRC': ['00000']},
Bio 172,Bioenergy,OCGT,CHP,DE,0.17,,,,,01.01.1997,,8.865143832,48.94267403,{'JRC': ['00000']},
Bio 173,Bioenergy,OCGT,CHP,DE,0.42,,,,,01.01.1997,,12.17922813,51.84873006,{'JRC': ['00000']},
Bio 174,Bioenergy,OCGT,CHP,DE,0.135,,,,,01.01.1997,,8.86377652,48.26139708,{'JRC': ['00000']},
Bio 175,Bioenergy,OCGT,CHP,DE,5,,,,,02.01.1997,,10.40170426,49.00628524,{'JRC': ['00000']},
Bio 176,Bioenergy,OCGT,CHP,DE,0.03,,,,,14.01.1997,,11.5063124,48.99821519,{'JRC': ['00000']},
Bio 177,Bioenergy,OCGT,CHP,DE,0.15,,,,,22.01.1997,,12.34961825,49.17446141,{'JRC': ['00000']},
Bio 178,Bioenergy,OCGT,CHP,DE,0.03,,,,,23.01.1997,,7.918527054,53.38253815,{'JRC': ['00000']},
Bio 179,Bioenergy,OCGT,CHP,DE,4.997,,,,,01.02.1997,,13.49483955,52.18348633,{'JRC': ['00000']},
Bio 180,Bioenergy,OCGT,CHP,DE,0.746,,,,,18.02.1997,,8.312290698,49.00069476,{'JRC': ['00000']},
Bio 181,Bioenergy,OCGT,CHP,DE,1.727,,,,,26.02.1997,,12.41556752,51.41600887,{'JRC': ['00000']},
Bio 182,Bioenergy,OCGT,CHP,DE,0.037,,,,,01.03.1997,,10.44668961,47.65134061,{'JRC': ['00000']},
Bio 183,Bioenergy,OCGT,CHP,DE,0.028,,,,,12.03.1997,,9.796578549,48.08808898,{'JRC': ['00000']},
Bio 184,Bioenergy,OCGT,CHP,DE,0.055,,,,,18.03.1997,,8.683303786,51.82459377,{'JRC': ['00000']},
